Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,03/01/24,2.38,0.68,0.5,0.67,0.23,0.47,0.45,0.38,0.48,0.48,0.8,0.82,1.43,2.27,4.13,4.43,1.7,2.73,0.5,0.0,0.0,29.12,316.78,25.55
Month,Student,Active,02/01/24,0.23,2.77,0.38,0.15,0.03,0.08,0.05,0.17,0.1,0.17,0.13,0.23,0.25,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,22.98,4.97
Month,Student,Active,01/01/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0
Month,Student,Active,12/01/23,0.3,0.97,0.2,1.28,0.42,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,10.45,3.23
Month,Student,Active,11/01/23,6.62,2.35,1.0,0.9,1.12,1.9,2.87,2.7,1.25,2.42,1.57,1.67,2.83,1.47,1.22,2.03,0.0,0.0,0.0,0.0,0.0,36.65,257.37,33.9
Month,Student,Active,10/01/23,2.18,0.68,0.57,1.25,1.02,0.9,0.83,1.23,0.78,1.02,0.88,0.85,0.6,0.58,1.6,1.55,0.37,1.87,2.18,1.37,0.0,26.9,246.98,22.32
Month,Student,Active,09/01/23,3.83,1.38,0.85,0.43,0.52,0.35,0.37,0.3,0.18,1.32,0.67,0.82,1.0,3.18,0.0,0.0,0.07,0.02,0.08,1.05,0.0,20.37,134.07,16.42
Month,Student,Active,08/01/23,0.87,1.15,2.57,2.92,0.57,0.67,0.8,0.32,0.9,0.62,0.57,0.83,1.48,1.17,1.22,4.12,5.47,5.85,4.93,1.12,0.0,50.62,502.03,38.12
Month,Student,Active,07/01/23,0.75,1.3,0.58,0.5,0.58,1.02,0.53,0.48,0.45,0.62,1.42,0.85,1.35,1.7,2.23,1.57,1.7,2.15,8.82,2.17,0.0,48.68,438.08,30.77
Month,Student,Active,06/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,05/01/23,1.13,0.25,1.12,0.03,0.1,0.07,0.2,0.6,0.58,0.97,1.22,1.13,1.02,1.13,0.82,1.4,1.15,2.73,3.98,0.48,0.0,29.92,271.95,20.12
Month,Student,Active,04/01/23,0.13,0.45,0.08,0.17,0.07,0.05,0.07,0.12,0.43,0.12,0.18,0.6,1.05,0.68,0.32,0.47,0.47,0.98,0.62,0.52,0.0,9.53,101.38,7.57
Month,Student,Active,03/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
Month,Student,Active,02/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,01/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,11/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,10/01/22,0.1,0.0,0.02,0.05,0.03,0.02,0.07,0.05,0.17,0.07,0.05,0.07,0.38,0.05,0.55,0.75,0.2,0.0,0.0,0.0,0.0,4.65,34.33,2.62
