Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,03/01/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0
Month,Student,Active,02/01/24,0.72,0.17,0.05,0.17,0.1,0.02,0.05,0.13,0.17,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,12.05,2.23
Month,Student,Active,01/01/24,0.3,0.15,0.2,0.22,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,2.4,0.93
Month,Student,Active,12/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,11/01/23,7.13,8.8,6.42,4.47,4.05,3.68,3.62,4.97,6.13,7.8,9.82,6.32,2.08,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.3,519.38,75.72
Month,Student,Active,10/01/23,4.53,2.05,5.08,4.53,1.97,3.08,2.42,2.63,1.92,1.62,1.45,1.08,0.77,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,188.83,33.72
Month,Student,Active,09/01/23,1.62,0.95,0.82,0.28,0.18,0.72,0.15,0.22,0.38,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38,21.07,5.57
Month,Student,Active,08/01/23,1.73,6.35,4.55,4.47,1.57,1.5,2.5,0.93,0.97,0.63,0.15,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.92,105.83,25.47
Month,Student,Active,07/01/23,15.12,10.35,11.83,11.62,10.57,7.08,8.42,4.7,1.9,2.43,1.18,0.83,0.25,0.8,0.03,0.0,0.0,0.0,0.0,0.0,0.0,102.35,389.03,87.12
Month,Student,Active,06/01/23,0.02,0.03,0.05,0.03,0.02,0.03,0.05,0.23,0.08,0.68,0.7,0.85,1.17,1.93,6.23,0.0,0.0,0.0,0.0,0.0,0.0,12.23,164.08,12.12
Month,Student,Active,05/01/23,12.65,14.4,11.05,8.88,8.1,9.32,10.48,8.77,6.57,6.6,7.37,7.13,9.02,7.15,6.9,2.17,0.0,0.0,0.0,0.0,0.0,163.77,997.27,136.55
Month,Student,Active,04/01/23,0.47,0.47,0.97,1.3,1.05,0.75,0.23,0.65,0.88,0.52,0.08,0.22,0.37,1.15,4.0,1.3,0.62,0.0,0.0,0.0,0.0,22.0,154.87,15.02
Month,Student,Active,03/01/23,0.43,0.83,0.32,0.3,0.22,0.0,0.03,0.03,0.03,0.02,0.05,0.12,0.33,0.08,0.62,0.27,0.0,0.0,0.0,0.0,0.0,7.17,27.27,3.68
Month,Student,Active,02/01/23,3.7,1.15,2.18,1.67,3.08,2.03,1.38,1.42,1.68,1.42,2.32,2.75,3.63,2.37,2.12,1.87,0.45,0.0,0.0,0.0,0.0,46.53,305.28,35.22
Month,Student,Active,01/01/23,1.57,2.12,1.77,2.58,1.2,1.73,0.85,0.9,1.18,1.5,1.18,1.57,2.37,3.9,5.28,3.97,4.62,0.78,0.0,0.0,0.0,57.47,429.12,39.07
Month,Student,Active,12/01/22,8.58,3.65,4.95,1.83,1.28,0.77,0.28,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73,52.8,21.57
Month,Student,Active,11/01/22,0.02,0.05,0.0,0.15,0.1,0.33,0.17,0.1,0.13,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,7.77,1.18
Month,Student,Active,10/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0
