Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,03/01/24,0.78,1.65,0.58,1.27,1.63,2.13,1.65,1.23,0.6,1.2,0.75,0.85,0.78,0.35,0.23,0.53,0.0,0.0,0.0,0.0,0.0,17.43,116.25,16.23
Month,Student,Active,02/01/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,01/01/24,0.02,0.02,0.03,0.1,0.2,0.55,0.32,0.48,0.42,0.7,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,22.42,2.9
Month,Student,Active,12/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,11/01/23,6.87,7.25,7.95,6.17,7.4,4.22,4.75,5.35,5.2,5.17,4.23,3.3,3.78,3.13,3.85,4.73,4.18,6.37,5.23,1.02,0.0,106.82,924.88,100.15
Month,Student,Active,10/01/23,0.02,0.02,0.0,0.03,0.0,0.03,0.02,0.0,0.17,0.03,0.1,0.08,0.17,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.87,8.95,0.83
Month,Student,Active,09/01/23,0.58,1.8,0.12,0.18,0.22,0.25,0.67,0.4,0.47,0.0,0.1,0.47,0.1,0.1,0.28,0.0,0.0,0.0,0.0,0.0,0.0,14.15,33.57,5.73
Month,Student,Active,08/01/23,22.6,13.95,9.4,13.68,8.4,6.15,5.45,4.43,3.32,2.33,3.92,3.57,2.18,2.63,2.25,3.52,2.4,1.12,0.27,0.0,0.0,137.97,646.25,111.57
Month,Student,Active,07/01/23,4.87,5.27,5.37,3.02,2.28,1.97,1.73,1.53,1.25,1.33,1.18,2.02,1.58,1.33,2.42,3.87,3.52,1.93,0.42,0.05,0.0,75.07,393.85,46.93
Month,Student,Active,06/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,05/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,04/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,03/01/23,4.5,2.63,5.55,1.33,1.75,1.2,0.67,0.78,0.38,0.45,0.47,0.4,0.75,0.95,1.0,1.4,1.13,1.15,0.15,0.0,0.0,77.53,179.78,26.65
Month,Student,Active,02/01/23,7.25,5.15,5.28,2.35,2.57,1.52,0.63,0.95,0.95,0.98,2.2,1.02,1.32,2.18,1.27,0.7,1.67,1.62,1.33,0.43,0.0,135.32,300.87,41.37
Month,Student,Active,01/01/23,1.07,2.7,1.9,0.52,0.05,0.02,0.0,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.98,15.85,6.4
Month,Student,Active,12/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,11/01/22,9.07,8.82,9.52,5.8,7.47,7.22,5.2,3.95,3.87,4.08,3.92,3.87,2.87,2.77,2.62,3.48,1.22,0.47,0.78,0.0,0.0,133.58,607.15,86.97
Month,Student,Active,10/01/22,3.53,6.35,7.08,9.05,7.97,4.87,1.17,0.83,1.02,0.87,1.15,1.12,1.73,1.57,0.9,0.58,0.25,0.0,0.0,0.0,0.0,63.97,272.97,50.03
Month,Student,Active,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Month,Student,All,03/01/24,0.57,1.97,0.62,0.77,1.52,0.92,1.98,1.7,1.03,1.15,1.1,0.9,0.77,0.57,0.25,0.62,0.0,0.0,0.0,0.0,0.0,17.43,125.2,16.42
Month,Student,All,02/01/24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,01/01/24,0.0,0.02,0.03,0.02,0.03,0.0,0.05,0.37,0.6,0.62,0.43,0.65,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,28.87,2.9
Month,Student,All,12/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,11/01/23,6.65,5.4,5.77,4.5,6.03,5.98,5.62,3.85,6.12,6.97,5.42,3.65,3.7,3.17,3.33,4.5,4.78,4.6,6.97,5.22,0.0,106.82,1032.28,102.22
Month,Student,All,10/01/23,0.02,0.0,0.02,0.0,0.05,0.03,0.02,0.0,0.02,0.13,0.07,0.08,0.15,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.87,9.58,0.85
Month,Student,All,09/01/23,0.82,0.2,1.82,0.12,0.08,0.2,0.68,0.55,0.52,0.03,0.05,0.57,0.1,0.1,0.28,0.0,0.0,0.0,0.0,0.0,0.0,14.15,37.22,6.12
Month,Student,All,08/01/23,14.87,16.12,10.53,12.52,7.43,10.12,10.62,6.67,3.9,2.83,1.75,2.05,3.78,3.15,3.77,4.33,3.53,1.68,0.35,0.0,0.0,137.97,777.7,120.0
Month,Student,All,07/01/23,4.67,7.73,4.7,2.93,3.38,2.38,2.1,1.28,1.65,1.1,1.55,1.98,1.58,1.35,1.32,2.0,3.95,5.23,0.92,0.1,0.0,75.07,440.85,51.92
Month,Student,All,06/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,05/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,04/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
