Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,03/01/24,8.73,8.03,6.28,5.48,6.72,6.22,4.58,4.77,2.48,1.63,1.08,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.48,267.68,56.88
Month,Student,Active,02/01/24,13.3,6.95,4.38,3.65,2.8,0.88,2.08,3.53,2.18,1.48,2.8,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.68,190.38,44.72
Month,Student,Active,01/01/24,11.47,7.7,6.37,3.12,3.72,3.38,5.18,4.05,3.37,2.82,3.88,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.03,290.38,56.98
Month,Student,Active,12/01/23,23.77,7.2,5.6,3.12,1.02,0.75,0.97,1.43,1.37,0.33,0.1,0.35,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.23,122.25,46.47
Month,Student,Active,11/01/23,31.58,22.18,21.5,19.1,14.8,16.18,13.63,12.97,13.5,10.13,7.67,11.07,9.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.92,1151.02,203.85
Month,Student,Active,10/01/23,24.32,22.68,22.75,14.82,11.78,12.18,11.47,11.1,8.82,6.63,9.08,13.87,17.15,5.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.92,1216.77,192.62
Month,Student,Active,09/01/23,17.62,14.12,10.07,14.62,12.35,10.87,10.52,10.52,8.63,7.37,8.1,9.4,14.05,16.85,10.93,0.07,0.0,0.0,0.0,0.0,0.0,194.12,1356.1,176.07
Month,Student,Active,08/01/23,25.72,11.57,9.07,9.12,6.45,4.77,6.02,6.42,6.57,4.63,5.53,6.23,6.12,7.53,7.93,0.0,0.0,0.0,0.0,0.0,0.0,150.57,811.9,123.67
Month,Student,Active,07/01/23,18.32,11.4,8.8,8.02,6.7,3.75,2.63,3.2,4.23,4.23,3.78,2.72,4.1,5.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,140.83,602.87,95.28
Month,Student,Active,06/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0
Month,Student,Active,05/01/23,17.72,12.02,7.18,9.52,5.87,5.63,3.58,1.82,2.45,2.17,4.52,3.52,4.63,7.63,8.22,15.02,0.0,0.0,0.0,0.0,0.0,158.7,870.33,111.48
Month,Student,Active,04/01/23,7.15,4.93,4.6,3.73,3.48,3.77,1.65,1.48,1.73,1.5,1.65,2.05,5.28,4.02,4.17,4.8,0.0,0.0,0.0,0.0,0.0,81.15,446.75,56.0
Month,Student,Active,03/01/23,0.17,0.35,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.82,2.22,0.97
Month,Student,Active,02/01/23,0.2,1.33,1.35,0.95,0.83,0.12,0.05,0.13,0.02,0.12,0.35,0.08,0.0,0.05,0.22,0.0,0.0,0.0,0.0,0.0,0.0,13.67,27.12,5.8
Month,Student,Active,01/01/23,1.02,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.55,2.78,1.9
Month,Student,Active,12/01/22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.03,0.03
Month,Student,Active,11/01/22,4.78,4.05,2.32,2.58,0.72,0.38,0.63,0.75,0.35,0.75,1.17,0.57,0.15,0.08,0.18,0.7,0.03,0.0,0.0,0.0,0.0,37.77,94.4,20.2
Month,Student,Active,10/01/22,4.3,6.83,6.77,6.93,4.18,5.28,3.58,3.2,3.72,2.57,2.75,3.57,1.17,1.92,4.35,2.5,1.0,0.0,0.0,0.0,0.0,86.45,465.72,64.62
Month,Student,Active,09/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Month,Student,All,03/01/24,8.78,8.82,6.27,6.05,6.02,6.02,5.62,5.28,3.62,1.82,0.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.48,295.8,60.68
Month,Student,All,02/01/24,9.45,10.57,5.2,4.88,4.42,1.33,1.9,3.17,2.28,0.95,3.45,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.68,216.03,48.73
Month,Student,All,01/01/24,14.43,5.05,8.9,8.13,3.9,2.8,5.85,4.7,3.63,3.42,4.43,2.42,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.03,344.55,67.77
Month,Student,All,12/01/23,24.92,10.93,4.03,5.97,4.1,0.95,1.03,1.35,1.23,0.85,0.1,0.28,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.23,158.45,56.32
Month,Student,All,11/01/23,20.83,23.75,20.35,21.82,20.02,19.47,13.35,15.35,12.12,14.15,10.08,11.0,13.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.92,1316.8,215.63
Month,Student,All,10/01/23,19.9,25.43,22.6,19.4,13.7,14.02,12.45,11.53,9.48,6.68,7.52,9.77,23.47,10.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.92,1353.48,206.53
Month,Student,All,09/01/23,11.37,13.6,10.43,13.33,13.73,11.42,11.47,8.38,8.23,11.8,10.12,8.7,10.3,15.65,25.67,0.08,0.0,0.0,0.0,0.0,0.0,194.12,1554.82,184.28
Month,Student,All,08/01/23,22.17,10.63,6.8,11.07,7.02,7.98,6.72,5.75,5.85,5.4,4.82,4.32,5.05,9.92,17.78,0.15,0.0,0.0,0.0,0.0,0.0,150.57,969.17,131.42
Month,Student,All,07/01/23,19.18,12.17,9.77,10.18,6.68,5.47,2.92,2.9,5.05,3.15,3.73,4.03,3.18,6.03,10.58,0.0,0.0,0.0,0.0,0.0,0.0,140.83,674.4,105.03
Month,Student,All,06/01/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0
Month,Student,All,05/01/23,11.53,7.67,16.92,8.93,8.38,5.6,7.73,5.25,3.73,2.93,2.53,2.55,2.85,4.15,10.02,23.72,0.0,0.0,0.0,0.0,0.0,158.7,1031.27,124.5
Month,Student,All,04/01/23,7.78,5.45,6.3,5.73,3.07,2.6,2.43,2.57,2.18,2.58,1.47,1.72,1.32,2.28,5.42,14.18,0.0,0.0,0.0,0.0,0.0,81.15,568.5,67.08
